1JAS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST TOPIX 1X SHORT DAILY ETP	IE00BBGBF420	ETNS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
1MCS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 250 1X SHORT DAILY ETP	IE00BBGBF313	ETNS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
2UKS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 100 2X SHORT DAILY ETP	IE00B94QKF15	ETNS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
3BAL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX BANKS 3X LEVERAGE DAILY	IE00BLS09N40	ETNS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BAS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX BANKS 3X SHORT DAILY	IE00BLS09P63	ETNS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BTL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BTP 10Y 3X LEVERAGE DAILY	IE00BKT09149	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BTS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BTP 10Y 3X SHORT DAILY	IE00BKS8QM96	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BUL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BUND 10Y 3X LEVERAGE DAILY	IE00BKT09255	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BUS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BUND 10Y 3X SHORT DAILY	IE00BKS8QN04	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3DEL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST LEVDAX 3X DAILY ETP SECS 30/11/62	IE00B878KX55	ETNS			13/12/2012	30/11/2062	Ireland	EUR	MAIN MARKET	Standard Debt	ETCS	ETCL
3ELM	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EMERGING MARKETS 3X LEVERAGE	IE00BYTYHN28	ETNS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
3EML	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EMERGING MARKETS 3X LEVERAGE	IE00BYTYHN28	ETNS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ENLL
3EMS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EMERGING MARKETS 3X SHORT	IE00BYTYHM11	ETNS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ENLL
3EUL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX50 3XLEV.DAY ETP30/11/62	IE00B7SD4R47	ETNS			13/12/2012	30/11/2062	Ireland	EUR	MAIN MARKET	Standard Debt	ETCS	ENLL
3EUS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX50 3X SHTDAYETP 30/11/62	IE00B8JF9153	ETNS			13/12/2012	30/11/2062	Ireland	EUR	MAIN MARKET	Standard Debt	ETCS	ENLL
3GIL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GILTS 10Y 3X LEVERAGE DAILY ETP	IE00BKT09479	ETNS			25/11/2014		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3ITL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE MIB 3X LEVERAGE DAILY	IE00B8NB3063	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3ITS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE MIB 3X SHORT DAILY	IE00B873CW36	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3LDE	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST LEVDAX 3X DAILY ETP (Â£)	IE00B878KX55	ETNS			19/03/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3LES	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX 50 3X SHORT DAILY	IE00B8JF9153	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
3LEU	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX 50 3X LEVERAGE DAILY	IE00B7SD4R47	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
3LUS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST S&P 500 3X LEVERAGE DAILY	IE00B7Y34M31	ETNS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
3SEM	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EMERGING MARKETS 3X SHORT	IE00BYTYHM11	ETNS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
3TYL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST US TREASURIES 10 Y	IE00BKT09032	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3TYS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST US TRS 10Y 3X SHORT DAILY ETP	IE00BKS8QT65	ETNS			06/08/2014		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3UKS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 100 3X SHORT DAILY ETP	IE00B7VB3908	ETNS			06/12/2012	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
3ULS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST S&P 500 3X SHORT DAILY	IE00B8K7KM88	ETNS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
3USL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST S&P 500 3X LEVERAGE DAILY 30/11/62	IE00B7Y34M31	ETNS			13/12/2012	30/11/2062	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ENLL
3USS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST S&P 500 3X SHORT DAILY ET 30/11/62	IE00B8K7KM88	ETNS			13/12/2012	30/11/2062	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ENLL
ITBL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE MIB BANKS	IE00BYMB4Q22	ETNS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
LQQ3	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NASDAQ 100 3X LEVERAGE DAILY	IE00B8W5C578	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
LQQS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NASDAQ 100 3X SHORT DAILY	IE00B8VZVH32	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
QQQ3	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NASDAQ 100 3X LEV.DAY ETP 30/11/62	IE00B8W5C578	ETNS			13/12/2012	30/11/2062	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ENLL
SUK1	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 100 1X SHORT DAILY ETP	IE00B94QKG22	ETNS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
VILX	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST S&P500 VIX SHORTTERM FUTURES 2.25X	IE00BYTYHQ58	ETNS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ENLM
VIXL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST S&P500 VIX SHORTTERM FUTURES 2.25X	IE00BYTYHQ58	ETNS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ENLL
SNRG	ETFS COMMODITY SECURITIES LIMITED	ETFS 1X DAILY SHORT ENERGY	JE00B24DKV97	ETNS			22/02/2008	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
UK3L	ETFS EQUITY SECURITIES LIMITED	ETFS 3X DAILY LONG FTSE 100	JE00B9BQ4529	ETNS			07/04/2014	31/12/9999	Jersey	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
UK3S	ETFS EQUITY SECURITIES LIMITED	ETFS 3X DAILY SHORT FTSE 100	JE00B7QK5303	ETNS			07/04/2014	31/12/9999	Jersey	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
GBUS	ETFS FOREIGN EXCHANGE LIMITED	ETFS LONG USD SHORT GBP	JE00B3WPFZ34	ETNS			21/06/2010	31/12/9999	Jersey	GBX	MAIN MARKET	Standard Debt	ETCS	ECLL
LGB3	ETFS FOREIGN EXCHANGE LIMITED	ETFS 3X LONG GBP SHORT USD	JE00B3SBFZ51	ETNS			09/11/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
LJP3	ETFS FOREIGN EXCHANGE LIMITED	ETFS 3X LONG JPY SHORT USD	JE00B3X9GJ56	ETNS			09/11/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
SGB3	ETFS FOREIGN EXCHANGE LIMITED	ETFS 3X SHORT GBP LONG USD	JE00B3XJ8K03	ETNS			09/11/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
SJP3	ETFS FOREIGN EXCHANGE LIMITED	ETFS 3X SHORT JPY LONG USD	JE00B3WFMB84	ETNS			09/11/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
SYP3	ETFS FOREIGN EXCHANGE LIMITED	ETFS 3X SHORT JPY LONG GBP	JE00B3TG7R50	ETNS			09/11/2010	31/12/9999	Jersey	GBX	MAIN MARKET	Standard Debt	ETCS	ECLL
2AAP	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X APPLE ETP	IE00BF03XJ35	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2AMZ	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X AMAZON ETP	IE00BF03XH11	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2CIT	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X CITIGROUP ETP	IE00BF03XL56	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2CRM	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X SALESFORCE.COM ETP	IE00BD09ZY63	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2CSC	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X CISCO ETP	IE00BF03XK40	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2DIS	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X DISNEY ETP	IE00BF03XN70	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2FB	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X FACEBOOK ETP	IE00BF03XP94	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2GE	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X GENERAL ELECTRIC ETP	IE00BF03XQ02	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2GOO	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X ALPHABET ETP	IE00BF01VY89	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2GS	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X GOLDMAN SACHS ETP	IE00BF03XR19	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2IBM	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X IBM ETP	IE00BF03XS26	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2INT	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X INTEL ETP	IE00BF03XT33	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2JNJ	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X JOHNSON & JOHNSON ETP	IE00BF03XV54	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2JPM	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X JPMORGAN ETP	IE00BF03XW61	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2KO	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X COCA-COLA ETP	IE00BF03XM63	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2MCD	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X MCDONALD'S ETP	IE00BF03XX78	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2MSF	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X MICROSOFT ETP	IE00BF03XY85	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2NFL	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X NETFLIX ETP	IE00BD09ZW40	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2NKE	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X NIKE ETP	IE00BF03XZ92	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2NVD	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X NVIDIA ETP	IE00BD09ZX56	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2ORC	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X ORACLE ETP	IE00BF03Y019	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2PFE	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X PFIZER ETP	IE00BD09ZZ70	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2PYP	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X PAYPAL ETP	IE00BD0B0034	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2SBU	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X STARBUCKS ETP	IE00BF03Y126	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
2VIS	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X VISA ETP	IE00BD09ZV33	ETNS			23/01/2018	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ETCM
AAP2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X APPLE ETP	IE00BF03XJ35	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
AMZ2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X AMAZON ETP	IE00BF03XH11	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
CIT2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X CITIGROUP ETP	IE00BF03XL56	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
CRM2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X SALESFORCE.COM ETP	IE00BD09ZY63	ETNS			12/12/2017		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
CSC2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X CISCO ETP	IE00BF03XK40	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
DIS2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X DISNEY ETP	IE00BF03XN70	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
FB2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X FACEBOOK ETP	IE00BF03XP94	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
GE2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X GENERAL ELECTRIC ETP	IE00BF03XQ02	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
GOO2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X ALPHABET ETP	IE00BF01VY89	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
GS2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X GOLDMAN SACHS ETP	IE00BF03XR19	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
IBM2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X IBM ETP	IE00BF03XS26	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
INT2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X INTEL ETP	IE00BF03XT33	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
JNJ2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X JOHNSON & JOHNSON ETP	IE00BF03XV54	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
JPM2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X JPMORGAN ETP	IE00BF03XW61	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
KO2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X COCA-COLA ETP	IE00BF03XM63	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
MCD2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X MCDONALD'S ETP	IE00BF03XX78	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
MSF2	LEVERAGE SHARES PUBLIC LIMITED COMPANY	LEVERAGE SHARES 2X MICROSOFT ETP	IE00BF03XY85	ETNS			12/12/2017	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECEL
